id,name,type_label,type_num,lat,lng
2255543,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.22602247040148,16.49121762591877
2255544,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.217371160974814,16.48214315375144
2255545,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.27778965023154,16.490855180155414
2255546,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21883806899425,16.476994862653143
2255547,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.24602927500942,16.47239255349821
2255548,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21453868028378,16.49053273333314
2255549,Trinkbrunnen,drinking_fountain,4,48.22126923522003,16.484541781131398
2255550,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21312463675726,16.524486856788624
2255552,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21795284617047,16.5252660404385
2255553,Trinkbrunnen,drinking_fountain,4,48.21416463489423,16.47531825859545
2255555,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.29740681508159,16.42038356770554
2255556,Trinkbrunnen,drinking_fountain,4,48.29471714869519,16.416684621127096
2255557,Trinkbrunnen,drinking_fountain,4,48.29463524781129,16.417223294463177
2255558,Trinkbrunnen,drinking_fountain,4,48.2590639046206,16.423602023336144
2255559,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21945354797626,16.394305226661558
2255560,Trinkbrunnen,drinking_fountain,4,48.253182903449655,16.442711057024685
2255563,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.14562333548431,16.404142680925883
2255564,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.14681852444355,16.401488012601817
2255565,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.14849139679724,16.405443393021574
2255566,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.14517975698742,16.402035509704103
2255567,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.17652845948522,16.425668214805206
2255568,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.23406939632352,16.324783189450145
2255571,Trinkbrunnen,drinking_fountain,4,48.19007929419479,16.393634919216115
2255572,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.16929118554187,16.411057823477005
2255573,Trinkbrunnen,drinking_fountain,4,48.216820330544394,16.34890479159596
2255574,Trinkbrunnen,drinking_fountain,4,48.237572972342065,16.45317258815286
2255575,Trinkbrunnen,drinking_fountain,4,48.212865529240126,16.31953712656335
2255576,Trinkbrunnen,drinking_fountain,4,48.25917117201176,16.392262254139734
2255577,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.223552249366676,16.390703885629755
2255578,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.22061758714394,16.367964855497515
2255579,Trinkbrunnen,drinking_fountain,4,48.23789466137187,16.385758298998248
2255580,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.19087716772656,16.37558441713233
2255581,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.22351106814732,16.390742766376125
2255582,Trinkbrunnen,drinking_fountain,4,48.16651878422106,16.3259594434211
2255583,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.269928270619296,16.43803204394051
2255584,Trinkbrunnen,drinking_fountain,4,48.25248570463187,16.398782678005272
2255585,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.25139780346414,16.393058882853662
2255587,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.16104244915323,16.443731624791873
2255589,Trinkbrunnen,drinking_fountain,4,48.231656215448716,16.347986369119127
2255590,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.25828667073932,16.33765285222283
2255591,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.27757886091648,16.382567271177603
2255592,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.13600465648772,16.28050185415561
2255593,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.13532788755682,16.282415416183003
2255594,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.135538684548095,16.28185353840751
2255595,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.20227931606446,16.249926187568967
2255596,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.1527264300363,16.38689065030968
2255597,Trinkbrunnen,drinking_fountain,4,48.23774170479587,16.415701012735514
2255598,Trinkbrunnen,drinking_fountain,4,48.16837269935852,16.296984813162666
2255600,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.2353286555324,16.37080988521234
2255601,Trinkbrunnen,drinking_fountain,4,48.21191914100956,16.359454950674962
2255603,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.22254132281653,16.390831492905313
2255604,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.225947059509686,16.396322683407966
2255605,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.16950116973774,16.382357001496768
2255606,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.17389017084907,16.41940044356396
2255609,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.169606600934706,16.429058862784306
2255610,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.27434946972814,16.405785657606106
2255611,Trinkbrunnen,drinking_fountain,4,48.26081333180474,16.392144149674525
2255612,Trinkbrunnen,drinking_fountain,4,48.19179043114411,16.3920638923002
2255613,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.24592725489017,16.33065375077791
2255614,Trinkbrunnen,drinking_fountain,4,48.251833803227214,16.457488020959378
2255615,Trinkbrunnen,drinking_fountain,4,48.21602606536963,16.35332447083347
2255617,Trinkbrunnen,drinking_fountain,4,48.24829664151348,16.491974491195673
